post_text,sentiment
What's your favourite Dani Alves goal? #FIFAWorldCupFinal,0
" Fabinho believes Liverpool are well-placed to benefit from the #FIFAWorldCup break as Jurgen Klopp's team look to chase down their Premier League rivals. ðŸ‘€

",0
"Three major finals in the past six years 

🇫🇷 France's ability to maintain high expectations is leading to Final after Final",0
What did you make of the Argentina goalkeeper's antics? 🤔,1
Their lead at the top is back to nine points! 👀,2
Moments like this #FIFAWorldCup | USMNT,0
La'eeb #FIFAWorldCup | #Qatar2022,0
La'eeb #FIFAWorldCup | #Qatar2022,0
Let us know #FIFAWorldCup | #Qatar2022,0
Let us know #FIFAWorldCup | #Qatar2022,0
Which of these festive fixtures are you most excited for? 🎅,2
The first of many at #Qatar2022 Kylian MbappÃ© got his adidas Golden Boot Award-winning campaign underway against Australia,0
"The first of many at #Qatar2022 🇫🇷

⚽️ Kylian Mbappé got his adidas Golden Boot Award-winning campaign underway against Australia",0
"Barcelona return to training after World Cup break

",0
"Simply brilliance by Maradona 

 Watch ‘After Diego’ and see how he impacted fans across the globe.",2
"ðŸ”´ Manchester United defender Lisandro Martinez must be ready to make an impact on his return to club football after Argentina's #FIFAWorldCup win, manager Erik ten Hag warned. ðŸ˜³

Check out the full story here: ðŸ‘€ðŸ”¥",0
" Angel Di Maria has been ""galvanised"" by Argentina's #FIFAWorldCup success, which Massimiliano Allegri sees as good news for Juventus. Find out more here: ðŸ‘€ðŸ”¥",0
"ðŸ˜³ AsÃ­ quedÃ³ el #rankingFIFA tras el mundial de fÃºtbol. Â¿QuÃ© opinas?

ðŸ˜³ This is the #FIFA ranking after the World Cup. What do you think ?",0
"Let's play rondo with Spain ðŸ‡ªðŸ‡¸

#FIFAWorldCup | #Qatar2022",0
Let's play rondo with Spain #FIFAWorldCup | #Qatar2022,0
No better feeling #FIFAWorldCup | #Qatar2022,2
"No better feeling 🏆🛗

#FIFAWorldCup | #Qatar2022",2
"We miss it already. Which moment was your favourite?

#FIFAWorldCup | #Qatar2022",1
"We miss it already. Which moment was your favourite?

#FIFAWorldCup | #Qatar2022",1
"One of the chosen few 🇭🇷

Watch Luka's journey to the #FIFAWorldCup in 'Captains' on FIFA+",2
Describe #Qatar2022 only using emojis ⬇️,0
Describe #Qatar2022 only using emojis :),0
"Voted by you and only you:

🕊🇧🇷 Richarlison's bicycle kick is one for the books and your 🥇 Hyundai Goal Of The Tournament!

#HyundaiGOTT2022 | #FIFAWorldCup",0
"

What was the Southampton player doing in this shot?! 🤦 ♂️😅
",1
"🇯🇵⏪ One month ago, Takuma Asano made HISTORY for Japan Football Association!",0
"An ally who was always with them 🇦🇷

Diego Maradona was truly one of their own ⤵️",2
"pov: watching Messi sign autographs ðŸ–‹ï¸

#FIFAWorldCup | #Qatar2022",0
"pov: watching Messi sign autographs 🖋️

#FIFAWorldCup | #Qatar2022",0
"ðŸ‡¦ðŸ‡·ðŸ“ˆ Argentina's World Cup triumph has moved them up to second in FIFA's world rankings, but Lionel Messi's Golden Ball-winning exploits were not enough for top spot. ðŸ˜³

Find out more here: ðŸ”¥ðŸ‘€",1
"Blink and you might miss this pass ðŸ‘€

#FIFAWorldCup | #Qatar2022",1
"Blink and you might miss this pass 👀

#FIFAWorldCup | #Qatar2022",1
How will the Premier League players returning from the World Cup be mentally affected... Without even realising it? ðŸ’­,0
"A magical strike from Mbappe! 💫🇫🇷

Vote for your Hyundai Goal of the Tournament! 🗳️ https://play.fifa.com/gott

#HyundaiGOTT2022 | #FIFAWorldCup",2
"A fierce looking five-a-side team you got there, Rasheedat! 🔥👊",3
"For those who have been missing him, Mohamed Salah is back in action tonight 🙌

Discover how the Liverpool FC & Egypt superstar evolved into one of the most influential sportsmen in the world ➡ https://www.fifa.com/fifaplus/en/watch/movie/66FdR6EouddVXdJMBBdUHe?autoplay=true",1
"The 10 nations seeing out the year at the top of the #FIFARanking ðŸ™Œ

Here's how things look after #Qatar2022",0
"The 10 nations seeing out the year at the top of the #FIFARanking 🙌

Here's how things look after #Qatar2022",0
